DOIorPMID,Publisher,Country (primary),Cat1,Cat2,Cat3,Email to Editor,RT,EoC,CR,Correction or Retraction Date,Survival,,,
10.1371/journal.pone.0098885,PLOS,China,,1,,6/14/2014,,1,,4/14/2020,2131,,,
10.1371/journal.pbio.1001856,PLOS,Ireland,,1,,5/17/2014,,1,0,5/6/2024,3642,,,
10.1371/journal.pone.0066471,PLOS,USA,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0061901,PLOS,Taiwan,1,,,5/11/2014,,,1,5/16/2016,736,,,
10.1023/a:1011050619406,Springer Nature,Mexico,,,1,10/4/2015,,,,,-42281,,,
10.1023/a:1011942824139,Springer Nature,Japan,,1,,10/4/2015,,,,,-42281,,,
10.1023/a:1014468932482,Springer Nature,Canada,1,,,10/4/2015,,,,,-42281,,,
10.1023/a:1015563021602,Springer Nature,Argentina,1,,,10/4/2015,,,,,-42281,,,
10.1080/1042819031000122033,Taylor&Francis,Japan,1,,,10/4/2015,,,,,-42281,,,
10.1007/s00280-004-0863-5,Springer Nature,China,,,1,6/28/2015,,,1,4/28/2021,2131,,,
10.1007/s11010-005-1370-7,Springer Nature,Hungary,1,,,10/4/2015,,,,,-42281,,,
10.1016/j.jaut.2004.10.003,Elsevier,France,1,,,10/4/2015,,,,,-42281,,,
10.1007/s00280-005-0137-x,Springer Nature,China,,,1,6/28/2015,,,,,-42183,,,
10.1007/s11010-006-9206-7,Springer Nature,China,,,1,10/4/2015,,,,,-42281,,,
10.1080/00268970600909205,Taylor&Francis,China,,,1,10/4/2015,1,,,3/8/2016,156,,,
10.1007/s00280-005-0177-2,Springer Nature,China,,,1,6/28/2015,,,,,-42183,,,
10.1007/s00280-007-0457-0,Springer Nature,China,,,1,6/28/2015,,,,,-42183,,,
10.1016/j.jaut.2007.02.007,Elsevier,Israel,1,,,10/4/2015,,,,,-42281,,,
10.1080/07357900701522471,Taylor&Francis,Japan,,,1,10/4/2015,,,,,-42281,,,
10.1080/08977190701398977,Taylor&Francis,South Korea,1,,,10/4/2015,,,,,-42281,,,
10.1080/10428190701216360,Taylor&Francis,China ,,,1,10/4/2015,1,,,3/8/2016,156,,,
10.1080/10428190701242358,Taylor&Francis,China ,1,,,10/4/2015,,,,,-42281,,,
10.1007/s00280-007-0543-3,Springer Nature,France,1,,,6/28/2015,,,,,-42183,,,
10.1016/j.cyto.2008.02.005,Elsevier,China,1,,,10/4/2015,,,,,-42281,,,
10.1073/pnas.0710846105,PNAS,Italy,,,1,2/9/2016,,,,,-42409,,,
10.1073/pnas.0804446105,PNAS,Italy,,1,,2/9/2016,,,,,-42409,,,
10.1073/pnas.0807549105,PNAS,USA,,1,,2/9/2016,,,,,-42409,,,
10.1080/07357900801975256,Taylor&Francis,China,,1,,10/4/2015,,,,,-42281,,,
10.1080/08977190801987166,Taylor&Francis,Ireland,1,,,10/4/2015,,,,,-42281,,,
10.1080/08977190802227828,Taylor&Francis,China,,,1,10/4/2015,,,,,-42281,,,
10.1007/s00280-009-0994-9,Springer Nature,Italy,,1,,6/28/2015,,,,,-42183,,,
10.1007/s00280-009-0998-5,Springer Nature,China,,1,,6/28/2015,,,,,-42183,,,
10.1016/j.cyto.2008.12.015,Elsevier,China,,1,,10/4/2015,,,,,-42281,,,
10.1073/pnas.0908027106,PNAS,USA,,1,,2/9/2016,,,,,-42409,,,
10.1080/10428190902934936,Taylor&Francis,China,,1,,10/4/2015,1,,,3/7/2016,155,,,
10.1007/s00280-009-1076-8,Springer Nature,USA,1,,,6/28/2015,,,,,-42183,,,
10.1007/s11010-010-0558-7,Springer Nature,China,,1,,10/4/2015,1,,,11/10/2023,2959,,,
10.1007/s11010-010-0562-y,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1073/pnas.0913495107,PNAS,USA,1,,,2/9/2016,,,,,-42409,,,
10.1073/pnas.1002024107,PNAS,USA,,1,,2/9/2016,,,,,-42409,,,
10.3109/10428190903383419,Taylor&Francis,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s00280-010-1345-6,Springer Nature,Italy,,1,,4/12/2015,,,,,-42106,,,
10.1007/s00280-010-1495-6,Springer Nature,Korea,1,,,4/12/2015,,,,,-42106,,,
10.1007/s00280-011-1660-6,Springer Nature,Japan,1,,,4/12/2015,,,,,-42106,,,
10.1007/s11010-011-0925-z,Springer Nature,China,1,,,10/4/2015,,,,,-42281,,,
10.1016/j.diagmicrobio.2010.09.008,Elsevier,Malaysia,1,,,10/4/2015,,,,,-42281,,,
10.1038/nature10539,Springer Nature,France,,1,,5/3/2015,,,1,12/2/2015,213,,,
10.1186/1471-2180-11-188,BioMedCentral,China,,1,,7/29/2015,,,1,10/28/2023,3013,,,
10.1007/s11010-012-1402-z,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s11010-012-1413-9,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s11010-012-1424-6,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s11010-012-1432-6,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1016/j.diagmicrobio.2012.02.013,Elsevier,China,,1,,10/4/2015,,,,,-42281,,,
10.1186/bcr3200,BioMedCentral,Singapore,1,,,7/29/2015,,,1,3/28/2017,608,,,
10.3109/07357907.2012.675384,Taylor&Francis,China,1,,,10/4/2015,,,1,4/15/2020,1655,,,
10.3109/10428194.2011.614707,Taylor&Francis,China,,,1,10/4/2015,,,,,-42281,,,
10.3892/ijo.2012.1343,Spandidos,Japan,1,,,10/4/2015,,,1,6/15/2016,255,,,
10.3892/ijo.2012.1714,Spandidos,Japan,1,,,10/4/2015,,,1,9/16/2016,348,,,
10.1007/s00253-012-4644-5,Springer Nature,Taiwan,1,,,10/4/2015,,,,,-42281,,,
10.1007/s00253-013-4778-0,Springer Nature,Mexico,1,,,10/4/2015,,,1,9/18/2021,2176,,,
10.1007/s00253-013-5156-7,Springer Nature,Austria,,1,,10/4/2015,,,,,-42281,,,
10.1007/s00253-013-5219-9,Springer Nature,Spain,,1,,10/4/2015,,,,,-42281,,,
10.1007/s00280-013-2281-z,Springer Nature,China,,1,,4/12/2015,,,,,-42106,,,
10.1007/s00280-013-2285-8,Springer Nature,China,,1,,4/12/2015,,,,,-42106,,,
10.1007/s11010-012-1547-9,Springer Nature,Portugal,1,,,10/4/2015,,,,,-42281,,,
10.1016/j.ccr.2013.02.018,Elsevier,France,1,,,7/10/2015,,,1,7/11/2016,367,,,
10.1038/nature12878,Springer Nature,China,,,1,5/3/2015,,,1,1/13/2016,255,,,
10.1038/onc.2013.184,Springer Nature,India,,1,,6/29/2015,,,1,10/16/2015,109,,,
10.1038/onc.2013.349,Springer Nature,China,,1,,6/29/2015,,,,,-42184,,,
10.1038/onc.2013.373,Springer Nature,Korea,,,1,6/29/2015,,,,,-42184,,,
10.1073/pnas.1310331110,PNAS,USA,1,,,2/9/2016,,,1,4/11/2016,62,,,
10.1186/1471-2407-13-182,BioMedCentral,China,,1,,7/29/2015,1,,,3/19/2020,1695,,,
10.1186/1471-2407-13-380,BioMedCentral,China,1,,,7/29/2015,,,1,5/21/2021,2123,,,
10.1186/1471-2407-13-468,BioMedCentral,Japan,1,,,7/29/2015,,1,,6/17/2022,2515,,,
10.3109/10428194.2012.717079,Taylor&Francis,France,,1,,10/4/2015,,,,,-42281,,,
10.3109/10428194.2013.776681,Taylor&Francis,China,1,,,10/4/2015,1,,,3/4/2016,152,,,
10.3892/ijo.2013.1809,Spandidos,Italy,1,,,10/4/2015,,,1,7/6/2016,276,,,
10.1007/s00253-014-5818-0,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s00253-014-6021-z,Springer Nature,China,,,1,10/4/2015,,,,,-42281,,,
10.1007/s10549-013-2811-8,Springer Nature,India ,,1,,10/4/2015,,,1,2/17/2016,136,,,
10.1007/s10549-014-3083-7,Springer Nature,China,1,,,10/4/2015,,,1,2/23/2016,142,,,
10.1007/s10549-014-3095-3,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s11010-014-2142-z,Springer Nature,Italy,,1,,10/4/2015,,,,,-42281,,,
10.1007/s11010-014-2148-6,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1007/s11010-014-2151-y,Springer Nature,Serbia,1,,,10/4/2015,1,,,4/25/2024,3126,,,
10.1007/s11010-014-2175-3,Springer Nature,China,1,,,10/4/2015,,,,,-42281,,,
10.1016/j.jaut.2014.02.013,Elsevier,Israel,1,,,10/4/2015,,,1,2/1/2016,120,,,
10.1038/onc.2014.404,Springer Nature,China,,1,,7/10/2015,,,1,7/4/2016,360,,,
10.1073/pnas.1319190110,PNAS,China,,1,,2/9/2016,,,1,11/22/2016,287,,,
10.1186/1471-2180-14-147,BioMedCentral,China,,1,,7/29/2015,,,,,-42214,,,
10.1186/bcr3692,BioMedCentral,China,,1,,7/29/2015,,,1,3/28/2017,608,,,
10.1186/s13058-014-0505-8,BioMedCentral,Spain,,1,,7/29/2015,,,1,3/28/2017,608,,,
10.1371/journal.pone.0083618,PLOS,UK,,,1,3/30/2014,,,,,-41728,,,
10.1371/journal.pone.0067342,PLOS,Canada,,,1,7/12/2014,1,,,10/10/2022,3012,,,
10.1371/journal.pntd.0001373,PLOS,USA,,,1,10/2/2015,,1,,5/6/2024,3139,,,
10.1023/a:1007180518474,Springer Nature,USA,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0058965,PLOS,USA,1,,,10/7/2015,,,1,8/1/2017,664,,,
10.1016/s0169-5002(01)00212-4,Elsevier,Russia,,1,,10/4/2015,,,,,-42281,,,
10.1016/S0169-5002(03)00239-3,Elsevier,Russia,,1,,10/4/2015,,1,,7/5/2016,275,,,
10.3109/07357900903179609,Taylor&Francis,China,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0053654,PLOS,China,,,1,5/20/2014,1,,,10/15/2019,1974,,,
10.1371/journal.pone.0055008,PLOS,China,,,1,5/20/2014,1,,,1/23/2020,2074,,,
10.1371/journal.pone.0088838,PLOS,UK,,1,,10/7/2015,,,,,-42284,,,
10.1128/IAI.01192-08,ASM,USA,,1,,3/8/2015,1,,,5/24/2018,1173,,,
10.1371/journal.pone.0059350,PLOS,India,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0065217,PLOS,China,,1,,10/7/2015,1,,,8/31/2022,2520,,,
10.1371/journal.pone.0065539,PLOS,China,,1,,10/7/2015,1,,,2/7/2023,2680,,,
10.1073/pnas.0904412106,PNAS,USA,,1,,2/9/2016,,,,,-42409,,,
10.1111/j.1472-765X.2012.03263.x,Wiley,China,,,1,4/5/2014,,,,,-41734,,,
10.1186/bcr2618,BioMedCentral,UK,1,,,7/29/2015,,,1,8/1/2018,1099,,,
10.1371/journal.pone.0092993,PLOS,India,1,,,10/7/2015,,,1,7/5/2024,3194,,,
10.1128/JCM.00001-09,ASM,Malaysia,,,1,4/19/2014,,,,,-41748,,,
10.1073/pnas.0903120106,PNAS,USA,,,1,2/9/2016,,,0,,-42409,,,
10.1111/j.1365-2672.2010.04795.x,Wiley,Australia,,,1,4/5/2014,,,,,-41734,,,
10.1371/journal.pone.0091723,PLOS,India,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0090951,PLOS,India,,1,,4/3/2014,1,,,6/30/2016,819,,,
10.1371/journal.pntd.0002853,PLOS,Brazil,1,,,7/13/2014,,,,,-41833,,,
10.1073/pnas.1314137110,PNAS,USA,1,,,2/9/2016,,,,,-42409,,,
10.1371/journal.pone.0061557,PLOS,Canada,,,1,10/7/2015,,,,,-42284,,,
10.1111/j.1462-2920.2008.01842.x,Wiley,Ireland,,1,,10/4/2015,,,1,2/23/2016,142,,,
10.1371/journal.pone.0099405,PLOS,Italy,,1,,6/15/2014,,,,,-41805,,,
10.1371/journal.pone.0070508,PLOS,Australia,,,1,8/1/2014,,,1,10/16/2014,76,,,
10.1016/j.ccr.2013.04.019,Elsevier,Germany,1,,,7/10/2015,,,1,8/8/2016,395,,,
10.1371/journal.pone.0095605,PLOS,Germany,1,,,4/26/2014,,,1,9/20/2016,878,,,
10.1073/pnas.0801457105,PNAS,Germany,,,1,2/9/2016,,,1,4/10/2018,791,,,
10.1371/journal.pone.0066246,PLOS,India,,1,,10/7/2015,1,,,3/27/2020,1633,,,
10.1007/s00280-004-0789-y,Springer Nature,Japan,,,1,6/28/2015,,,,,-42183,,,
10.1128/JVI.00546-13,ASM,USA,,,1,12/31/2014,,,,,-42004,,,
10.1186/1471-2180-3-9,BioMedCentral,USA,,,1,7/29/2015,,,,,-42214,,,
10.1186/1471-2180-6-26,BioMedCentral,USA,,,1,7/29/2015,1,,,10/17/2019,1541,,,
10.1128/IAI.68.1.72-79.2000,ASM,USA,,1,,4/12/2015,,,,,-42106,,,
10.1128/IAI.69.10.6131–6139.2001,ASM,USA,,,1,4/12/2015,,,,,-42106,,,
10.1128/IAI.73.3.1754–1763.2005,ASM,USA,,1,,4/12/2015,,,1,4/21/2022,2566,,,
10.1128/IAI.06230-11,ASM,USA,,1,,10/30/2014,1,,,5/1/2015,183,,,
10.1038/nature07091,Springer Nature,USA,,1,,5/3/2015,,,1,5/12/2016,375,,,
10.1371/journal.pone.0065978,PLOS,USA,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0105555,PLOS,USA,,1,,10/7/2015,1,,,6/5/2018,972,,,
10.1016/j.cyto.2009.07.004,Elsevier,USA,,,1,10/4/2015,,,,,-42281,,,
10.1128/AEM.02535-09,ASM,USA,1,,,7/1/2015,,,,,-42186,,,
10.1016/j.cyto.2003.11.014,Elsevier,Lebanon,1,,,10/4/2015,,,,,-42281,,,
10.1016/j.cyto.2004.11.009,Elsevier,Lebanon,,,1,10/4/2015,,,,,-42281,,,
10.1016/j.cyto.2005.12.007,Elsevier,Lebanon,1,,,10/4/2015,,,,,-42281,,,
10.1016/j.cyto.2009.11.020,Elsevier,Lebanon,,,1,10/4/2015,,,,,-42281,,,
10.1371/journal.pntd.0002930,PLOS,India,0,,1,7/13/2014,1,,,8/8/2022,2948,,,
10.1371/journal.pone.0100232,PLOS,China,,1,,6/26/2014,,,,,-41816,,,
10.1007/s11010-007-9510-x,Springer Nature,USA,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0095514,PLOS,China,,1,,4/18/2014,,,,,-41747,,,
10.1371/journal.pone.0055693,PLOS,China,,1,,7/11/2014,,,,,-41831,,,
10.1371/journal.pone.0072376,PLOS,China,,,1,7/11/2014,,,,,-41831,,,
10.1128/IAI.71.2.948-955.2003,ASM,Japan,1,,,3/8/2015,,,,,-42071,,,
10.1371/journal.pone.0094382,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0100340,PLOS,China,,1,,7/13/2014,,,,,-41833,,,
10.1371/journal.pone.0068589,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1128/JVI.01446-13,ASM,USA,1,,,12/31/2014,,,1,2/28/2020,1885,,,
10.1371/journal.ppat.1003981,PLOS,Singapore,,1,,3/29/2014,,,1,10/23/2014,208,,,
10.1128/JCM.41.6.2341-2347.2003,ASM,Japan,,,1,12/26/2014,,,,,-41999,,,
10.1371/journal.pone.0069086,PLOS,India,,1,,10/7/2015,,,1,12/19/2019,1534,,,
10.1371/journal.pone.0056123,PLOS,USA,,1,,10/7/2015,1,,,10/22/2020,1842,,,
10.1016/j.lungcan.2006.06.001,Elsevier,Italy,,,1,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0092066,PLOS,France,,1,,3/25/2014,,,1,7/7/2014,104,,,
10.1371/journal.pone.0083541,PLOS,India,,,1,4/17/2014,1,,,1/17/2019,1736,,,
10.1002/ijc.28289,Wiley,USA,,1,,2/21/2015,,,1,4/15/2016,419,,,
10.1371/journal.pone.0089630,PLOS,Spain,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0092305,PLOS,Poland,,1,,4/6/2014,,,1,8/18/2014,134,,,
10.1186/1471-2180-6-8,BioMedCentral,USA,,,1,7/29/2015,,,,,-42214,,,
10.1371/journal.pone.0074337,PLOS,Canada,,1,,10/7/2015,,,,,-42284,,,
10.1186/1471-2180-9-20,BioMedCentral,India,,,1,7/29/2015,,,,,-42214,,,
10.1007/s11010-006-9215-6,Springer Nature,USA,,,1,10/4/2015,,,,,-42281,,,
10.1002/ijc.28280,Wiley,Italy,,,1,2/21/2015,,,0,8/7/2015,167,,,
10.1371/journal.pbio.1000539,PLOS,Netherlands,1,,,10/2/2015,,,1,2/7/2017,494,,,
10.1371/journal.pone.0087003,PLOS,USA,,1,,4/12/2014,,,1,4/22/2015,375,,,
10.1128/JVI.01929-12,ASM,Germany,,1,,12/31/2014,,,,,-42004,,,
10.1371/journal.pone.0065740,PLOS,Italy,1,,,10/7/2015,,,,,-42284,,,
10.1081/cnv-67147,Taylor&Francis,Italy,,,1,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0062235,PLOS,India,,1,,5/23/2014,,,,,-41782,,,
10.1128/JVI.02667-12,ASM,USA,,,1,12/31/2014,,,1,7/17/2018,1294,,,
10.1371/journal.pone.0103868,PLOS,India,1,,,8/15/2014,,,1,11/18/2014,95,,,
10.1371/journal.pone.0089025,PLOS,China,,1,,10/7/2015,,1,,4/1/2021,2003,,,
10.1371/journal.pone.0102195,PLOS,USA,,,1,8/19/2014,1,,,8/1/2019,1808,,,
10.1371/journal.pone.0062230,PLOS,China,,1,,10/7/2015,,1,,6/23/2023,2816,,,
10.1371/journal.pone.0064976,PLOS,China,,1,,6/12/2014,,1,,4/2/2020,2121,,,
10.1371/journal.pone.0090151,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1016/j.jaut.2005.09.016,Elsevier,USA,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0091557,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0069403,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1016/j.jaut.2008.12.003,Elsevier,USA,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0071265,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1186/bcr1789,BioMedCentral,China,,1,,7/29/2015,,,1,7/2/2018,1069,,,
10.1371/journal.pone.0065686,PLOS,USA,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0094343,PLOS,China,,,1,10/7/2015,1,,,5/12/2022,2409,,,
10.1128/IAI.06295-11,ASM,China,,,1,10/30/2014,1,,,3/17/2015,138,,,
10.1371/journal.pone.0090062,PLOS,China,,1,,4/22/2014,1,,,1/10/2019,1724,,,
10.1007/s11010-014-2185-1,Springer Nature,China,,,1,10/4/2015,1,,,4/26/2024,3127,,,
10.1371/journal.pone.0069583,PLOS,Israel,,,1,8/24/2014,,,1,7/20/2015,330,,,
10.1371/journal.pone.0058428,PLOS,USA,1,,,9/19/2014,1,,,6/12/2024,3554,,,
10.1016/j.ccell.2014.09.008,Elsevier,USA,,1,,7/10/2015,,,1,7/11/2016,367,,,
10.1016/j.cyto.2010.09.007,Elsevier,China,,,1,10/4/2015,,,,,-42281,,,
10.3892/ijo.2012.1470,Spandidos,South Korea,,,1,10/4/2015,,,0,3/7/2017,520,,,
10.1007/s10549-014-3086-4,Springer Nature,Korea,,1,,10/4/2015,,,1,2/18/2016,137,,,
10.1371/journal.pone.0071453,PLOS,China,,,1,10/7/2015,,,,,-42284,,,
10.1007/s00280-008-0902-8,Springer Nature,USA,,,1,6/28/2015,,,,,-42183,,,
10.1371/journal.pone.0060834,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0055695,PLOS,USA,,,1,10/7/2015,1,,0,8/25/2023,2879,,,
10.1007/s11010-011-0880-8,Springer Nature,China,,1,,10/4/2015,1,,,4/24/2024,3125,,,
10.1371/journal.pone.0102602,PLOS,China,,1,,8/15/2014,1,,,12/31/2019,1964,,,
10.1371/journal.pone.0095912,PLOS,China,,,1,4/26/2014,,,,,-41755,,,
10.1371/journal.pone.0050175,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0068784,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1016/j.cyto.2011.02.016,Elsevier,China,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0057818,PLOS,China,,1,,8/22/2014,,,,,-41873,,,
10.3109/10428194.2013.879128,Taylor&Francis,China,,,1,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0096982,PLOS,China,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0090660,PLOS,China,,,1,10/7/2015,1,,,12/31/2020,1912,,,
10.1371/journal.pone.0094548,PLOS,China,,,1,4/12/2014,1,,,6/28/2018,1538,,,
10.1371/journal.pone.0072793,PLOS,Taiwan,,1,,10/7/2015,,,1,7/27/2017,659,,,
10.1371/journal.pone.0072158,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1186/bcr2614,BioMedCentral,Australia,,,1,7/29/2015,,,,,-42214,,,
10.1371/journal.pone.0099511,PLOS,Netherlands,,1,,6/10/2014,,0,1,7/23/2019,1869,,,
10.1371/journal.pone.0056966,PLOS,China,,,1,9/20/2014,1,,,2/9/2021,2334,,,
10.1371/journal.ppat.1003231,PLOS,China,,1,,9/20/2014,,,1,3/2/2017,894,,,
10.1371/journal.pone.0069592,PLOS,China,,1,,8/1/2014,,,1,1/26/2015,178,,,
10.1371/journal.pone.0098560,PLOS,China,,1,,6/10/2014,1,,,4/9/2019,1764,,,
10.1371/journal.pone.0069926,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0093591,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0069134,PLOS,China,,1,,7/25/2014,1,,,2/12/2021,2394,,,
10.1371/journal.pone.0090318,PLOS,China,,1,,4/26/2014,1,,,7/25/2016,821,,,
