DOIorPMID,Publisher,Country (primary),Cat1,Cat2,Cat3,Email to Editor,RT,EoC,CR,Correction or Retraction Date,Survival,,,
10.1371/journal.pone.0063966,PLOS,China,,,1,7/5/2014,1,,,3/25/2020,2090,,,
10.1007/s00280-005-1029-9,Springer Nature,China,,,1,6/28/2015,,,,,-42183,,,
10.1371/journal.pone.0068981,PLOS,China,,1,,7/19/2014,,,,,-41839,,,
10.1371/journal.pone.0091354,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1128/AEM.01278-10,ASM,China,,,1,12/26/2014,1,,,2/26/2024,3349,,,
10.1007/s11010-009-0104-7,Springer Nature,China,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0060197,PLOS,China,,1,,10/7/2015,1,,,2/7/2024,3045,,,
10.1371/journal.pone.0103355,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.ppat.1004195,PLOS,UK,,1,,6/14/2014,,,1,9/5/2014,83,,,
10.1126/science.1121513,AAAS,USA,,,1,4/19/2015,,1,,6/26/2021,2260,,,
10.1186/bcr2208,BioMedCentral,USA,,1,,7/29/2015,,,1,6/14/2018,1051,,,
10.1128/AEM.01201-10,ASM,Germany,,,1,12/26/2014,,,,,-41999,,,
10.1371/journal.pone.0091331,PLOS,Taiwan,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0070020,PLOS,Argentina,,1,,7/25/2014,1,,,12/7/2023,3422,,,
10.1186/1471-2180-9-272,BioMedCentral,Brazil,,1,,7/29/2015,,,,,-42214,,,
10.1186/1471-2180-10-292,BioMedCentral,Brazil,,,1,7/29/2015,,,,,-42214,,,
10.1186/1471-2180-13-107,BioMedCentral,Brazil,1,,,7/29/2015,,,,,-42214,,,
10.1371/journal.pone.0055482,PLOS,Korea,,,1,10/7/2015,1,,,11/3/2020,1854,,,
10.1371/journal.pone.0093995,PLOS,USA,1,,,4/18/2014,,,1,7/22/2014,95,,,
10.1371/journal.pone.0103606,PLOS,USA,1,,,10/7/2015,,,1,6/27/2017,629,,,
10.1016/j.lungcan.2008.05.026,Elsevier,Taiwan,,1,,10/4/2015,1,,,10/1/2016,363,,,
10.1186/gb-2013-14-10-r121,BioMedCentral,USA,1,,,7/29/2015,,,1,2/4/2016,190,,,
10.1371/journal.pgen.1003361,PLOS,Sweden,,,1,9/21/2014,1,,,4/27/2015,218,,,
10.1371/journal.ppat.1004059,PLOS,Sweden,1,,,9/21/2014,,,1,5/20/2016,607,,,
10.1007/s00280-008-0794-7,Springer Nature,USA,1,,,6/28/2015,,,,,-42183,,,
10.1007/s10549-012-2079-4,Springer Nature,USA,,1,,10/4/2015,,,1,2/16/2016,135,,,
10.1371/journal.pone.0060020,PLOS,Denmark,,,1,10/7/2015,,,1,6/27/2024,3186,,,
10.1128/JCM.42.12.5885-5888.2004,ASM,Hong Kong,,1,,12/26/2014,1,,,10/31/2022,2866,,,
10.1128/JCM.42.2.665-669.2004,ASM,Hong Kong,1,,,12/26/2014,1,,,10/31/2022,2866,,,
10.1186/s13058-014-0479-6,BioMedCentral,Korea,,1,,7/29/2015,,,1,3/26/2019,1336,,,
10.1371/journal.ppat.1003114,PLOS,USA,,,1,5/17/2014,,,1,3/9/2016,662,,,
10.1371/journal.pone.0098623,PLOS,USA,,,1,6/7/2014,1,,,6/17/2020,2202,,,
10.1371/journal.pone.0067977,PLOS,Mexico,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0055790,PLOS,China,,1,,10/7/2015,1,,,2/27/2024,3065,,,
10.3892/ijo.2012.1617,Spandidos,China ,1,,,10/4/2015,,,1,9/28/2016,360,,,
10.1016/j.cyto.2014.07.249,Elsevier,China,,1,,10/4/2015,,,,,-42281,,,
10.1186/bcr1509,BioMedCentral,Ireland,1,,,7/29/2015,,,1,6/20/2018,1057,,,
10.3892/ijo.2013.1903,Spandidos,China ,,1,,10/4/2015,,,1,9/16/2016,348,,,
10.1371/journal.pone.0096085,PLOS,China,,1,,5/11/2014,1,,,8/15/2018,1557,,,
10.1080/07357900802072723,Taylor&Francis,China,,,1,10/4/2015,,,,,-42281,,,
10.1007/s11010-013-1720-9,Springer Nature,China,1,,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0065218,PLOS,China,,,1,7/22/2014,1,,,9/6/2019,1872,,,
10.1371/journal.pone.0085113,PLOS,China,,1,,7/22/2014,1,,,10/17/2019,1913,,,
10.1155/2013/467245,Hindawi,Korea,,1,,10/2/2015,1,,0,1/2/2019,1188,,,
10.3109/10428194.2010.512963,Taylor&Francis,China,,,1,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0091298,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0094855,PLOS,China,,,1,4/18/2014,1,,,10/10/2018,1636,,,
10.1007/s00253-014-5893-2,Springer Nature,China,1,,,10/4/2015,,,,,-42281,,,
10.3109/07357907.2013.820314,Taylor&Francis,China,,,1,10/4/2015,,,,,-42281,,,
10.1002/ijc.27989,Wiley,Canada,1,,,2/21/2015,,,1,8/7/2015,167,,,
10.1371/journal.pone.0068747,PLOS,China,,1,,7/12/2014,,,,,-41832,,,
10.1371/journal.pone.0097242,PLOS,China,,1,,10/7/2015,1,,,8/5/2020,1764,,,
10.1371/journal.pone.0092574,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0096177,PLOS,China,,1,,5/11/2014,,,,,-41770,,,
10.1023/a:1024921329885,Springer Nature,South Africa,,,1,10/4/2015,1,,,12/8/2023,2987,,,
10.1371/journal.pone.0085484,PLOS,USA,1,,,4/20/2014,,,1,4/17/2019,1823,,,
10.1371/journal.pone.0083995,PLOS,Poland,,1,,3/30/2014,1,,,1/10/2019,1747,,,
10.1371/journal.pone.0089021,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1016/j.cyto.2006.12.003,Elsevier,Italy,1,,,10/4/2015,,,,,-42281,,,
10.1038/nature08107,Springer Nature,Germany,1,,,5/3/2015,,,1,1/25/2024,3189,,,
10.1371/journal.pone.0092416,PLOS,France,,,1,10/7/2015,1,,,8/3/2021,2127,,,
10.1128/IAI.01203-10,ASM,Japan,1,,,3/8/2015,,,1,10/15/2015,221,,,
10.1126/science.1082254,AAAS,Italy,,1,,4/24/2015,,,,,-42118,,,
10.3892/ijo.2013.2157,Spandidos,South Korea,,1,,10/4/2015,,,,,-42281,,,
10.1186/bcr3322,BioMedCentral,Canada,1,,,7/29/2015,,,1,3/28/2017,608,,,
10.1186/bcr3441,BioMedCentral,Canada,,1,,7/29/2015,,,1,3/28/2017,608,,,
10.1371/journal.pone.0065556,PLOS,China,,,1,10/7/2015,1,,,6/1/2021,2064,,,
10.1371/journal.pone.0059021,PLOS,Saudi Arabia,0,1,,10/7/2015,1,,,12/30/2019,1545,,,
10.1186/1471-2180-10-104,BioMedCentral,Germany,1,,,7/29/2015,,,,,-42214,,,
10.1128/IAI.06056-11,ASM,Germany,1,,,10/30/2014,,,1,2/13/2015,106,,,
10.1128/JCM.41.8.3584-3591.2003,ASM,USA,,,1,12/26/2014,1,,,5/8/2024,3421,,,
10.1128/JCM.43.8.4002-4009.2005,ASM,USA,,,1,12/26/2014,1,,,4/12/2024,3395,,,
10.1128/mBio.00275-11,ASM,USA,,1,,10/30/2014,1,,0,3/23/2022,2701,,,
10.1007/s11010-006-9228-1,Springer Nature,China,1,,,10/4/2015,,1,0,12/27/2022,2641,,,
10.1128/IAI.01008-13,ASM,USA,,,1,10/30/2014,1,,,4/15/2015,167,,,
10.1371/journal.pone.0062170,PLOS,USA,,,1,10/7/2015,1,,,4/10/2017,551,,,
10.1371/journal.pone.0098370,PLOS,USA,,1,,6/7/2014,1,,,12/29/2023,3492,,,
10.1371/journal.pone.0055714,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0061056,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0089622,PLOS,Taiwan,,,1,10/7/2015,1,,0,12/13/2022,2624,,,
10.1016/j.cyto.2008.12.021,Elsevier,Japan,,,1,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0094213,PLOS,Japan,,,1,10/7/2015,1,,,8/6/2020,1765,,,
10.1371/journal.pone.0094472,PLOS,India,,,1,4/21/2014,1,,,10/23/2017,1281,,,
10.1016/j.cyto.2013.04.009,Elsevier,USA,,1,,10/4/2015,1,,,8/20/2018,1051,,,
